Minisector,HAM,VER,Fastest
0,275.7570482206852,276.411362108993,VER
1,291.47649379343795,292.0867869777492,VER
2,289.5869977613353,289.07419158919026,HAM
3,200.42761005473656,179.02301912935442,HAM
4,131.84607185682765,134.4476234323784,VER
5,242.8391574626024,243.46106943649596,VER
6,283.3177982257771,283.93614871147633,VER
7,297.7530147189888,288.560725859125,HAM
8,191.60539879293916,176.78448245912585,HAM
9,154.678439457826,146.68220427366592,HAM
10,253.3453940756525,255.11088623455444,VER
11,284.1363957850996,286.1696521713598,VER
12,293.79522040906016,296.04314179859824,VER
13,289.3115778381171,282.887447565974,HAM
14,298.48105571751,298.1290599952278,HAM
15,296.5244402797999,294.9832506907982,HAM
16,266.60563457623897,256.1231590871111,HAM
17,243.75720691116356,240.67932612170512,HAM
18,284.0318364916553,286.7215337184722,VER
19,301.4573627087106,305.76456140350876,VER
20,307.61260252366435,306.28666663860906,HAM
21,249.2253937188489,225.6102092267148,HAM
22,265.55238803849306,260.0936477540058,HAM
23,147.9425511958809,138.8166843856444,HAM
24,223.06924612322976,224.71001448510123,VER
