Minisector,SAI,GIO,Fastest
0,277.183489510559,271.8126738222222,SAI
1,295.1037824487597,288.4733134610969,SAI
2,222.04818846733772,222.64166569195402,GIO
3,125.76723432366411,126.9149977458458,GIO
4,183.53424436397214,183.74460122740035,GIO
5,120.39374231135554,121.6591281866755,GIO
6,213.777415241014,209.29019341291573,SAI
7,258.31267383492064,258.3929185128814,GIO
8,177.59726041155255,177.96397930669139,GIO
9,185.71776882462513,176.27895878857873,SAI
10,265.4008805763975,261.0945687238095,SAI
11,189.70402354825703,193.21579395048516,GIO
12,165.75132405679958,161.86196646837607,SAI
13,256.1075003733333,254.27806575339358,SAI
14,272.68115982608697,268.7731626401656,SAI
15,285.2994080128269,282.41656775686107,SAI
16,201.84758240990354,202.391369,GIO
17,192.7553591856167,193.94605654761904,GIO
18,244.1330144,238.56408789559083,SAI
19,283.8580551354854,278.0085507246377,SAI
20,294.2785980589203,288.7465639203463,SAI
21,203.32323554571016,219.35551754913496,GIO
22,148.18974377143797,141.24552726926407,SAI
23,158.61228456223205,157.4627572103281,SAI
24,226.93716476798934,215.82262487024065,SAI
25,,256.57549317093793,GIO
