Minisector,PER,HAM,Fastest
0,273.1947756213585,271.6269712369231,PER
1,292.6224779916458,291.62609790210126,PER
2,291.204457536859,292.7502548592208,HAM
3,186.66875511652503,186.51898529081998,PER
4,117.66081871267777,116.2368032269516,PER
5,230.78775488501347,231.12360100943914,HAM
6,275.66565276389053,274.55426044721503,PER
7,290.8700690406926,288.8202777904762,PER
8,180.65462873732338,187.20159610557823,HAM
9,138.5773910115855,141.92607220756625,HAM
10,243.6480076736,241.85382877279895,PER
11,282.54904544548054,282.31617186510204,PER
12,295.32578304057233,298.90285305797823,HAM
13,280.4632816498147,276.69151901561906,PER
14,294.80364828988064,292.01070657345787,PER
15,301.1834719464048,301.06636363636363,PER
16,252.8182141448294,259.86680241387006,HAM
17,216.5358076576784,224.86015278545455,HAM
18,270.727070010694,271.7086157807159,HAM
19,294.77741650723976,293.9729801467139,PER
20,304.7525985951065,301.8777664385496,PER
21,231.08339286228548,239.42482966530613,HAM
22,250.67931258590622,257.02672911392784,HAM
23,139.92274298145225,145.91984269846856,HAM
24,209.4927037853865,203.75122198306087,PER
25,,251.11071451428572,HAM
