Minisector,PER,VER,Fastest
0,322.326756167619,332.36087096942356,VER
1,330.58312512000003,337.8958333192982,VER
2,326.76537699894175,339.04999999999995,VER
3,171.35263482316603,172.06189122729296,VER
4,137.75242405774853,134.2549300836439,PER
5,269.6009054144928,268.13019328003185,PER
6,301.69079090709454,299.9475,PER
7,316.60895818666665,307.7342292128621,PER
8,258.34205132518395,256.7234375,PER
9,150.7036899504762,152.54419081948745,VER
10,222.59575843887689,221.2195533202143,PER
11,221.0632597393305,231.05826374790675,VER
12,198.87663168786483,199.75151728456356,VER
13,273.55698600043826,272.0177487168831,PER
14,307.9735774251629,307.3414962491803,PER
15,318.90833333333336,319.99583336296297,VER
16,255.95300168533333,260.8842379459048,VER
17,208.9005591580898,215.71498454273177,VER
18,274.70721853385004,277.7324458020994,VER
19,309.7871723657143,309.5158534806326,PER
20,322.53211878190274,323.4682016481203,VER
21,303.71781357333333,302.1805555301587,PER
22,210.29696153844264,218.95023811067534,VER
23,268.45789974025973,271.4540904212873,VER
24,305.58906901471863,306.2464226843079,VER
25,,316.4166656,VER
