Minisector,HAM,RUS,Fastest
0,264.72300352016845,262.4746194339182,HAM
1,282.2109843530159,279.3624754962546,HAM
2,282.5801551539145,280.2713402333333,HAM
3,127.0925864930773,126.85890681610174,HAM
4,194.55049221016722,190.69452901022512,HAM
5,256.6145671348148,253.21004360823994,HAM
6,139.3467064394277,141.4487005328938,RUS
7,200.35506285073595,191.8700886929705,HAM
8,256.37709175017545,247.98281102663907,HAM
9,276.81048587555557,272.30368494816423,HAM
10,229.0307597303412,231.9744822188115,RUS
11,175.84260146259442,180.5251536035165,RUS
12,175.16073391733008,176.32294624603273,RUS
13,141.04426371285714,146.99682802196077,RUS
14,170.77239001128171,161.28490283623933,HAM
15,156.47292830222224,155.78487689142855,HAM
16,213.0750162536332,201.34076444848486,HAM
17,228.1015997279811,230.19000616153767,RUS
18,232.465179078557,227.19429519445887,HAM
19,239.98755291924505,247.95907822034889,RUS
20,145.77837879036414,142.65183094276642,HAM
21,137.54224631476038,137.81610438959223,RUS
22,166.85856419438008,154.55183902629244,HAM
23,151.12187656393266,148.8111469981362,HAM
24,225.30324333718391,218.37348755077792,HAM
25,248.9624992,247.67861237527273,HAM
