Minisector,NOR,LAW,Fastest
0,302.6634021155556,295.7699415047873,NOR
1,152.30962468520013,147.92646033386302,NOR
2,210.78760839360532,212.9421850380576,LAW
3,287.7075977098039,288.09548685920157,LAW
4,313.65775860888454,314.04998763575344,LAW
5,312.136332105094,313.18541192242424,LAW
6,173.64117682950993,171.6079971930321,NOR
7,121.41758465995508,124.44677881910006,LAW
8,254.7263230425987,251.43163008090193,NOR
9,297.40732849815726,295.5507070524327,NOR
10,299.7002403076923,300.9446127946128,LAW
11,139.06296964001413,136.90834100258718,NOR
12,175.47542344410255,174.8341131672001,NOR
13,247.2246959880901,250.19017324740176,LAW
14,186.70258244742777,182.1252721784597,NOR
15,190.9819697355213,201.05359647324136,LAW
16,195.3360549611189,190.53311526155633,NOR
17,233.42989431632046,227.63710352471654,NOR
18,280.036648105804,277.47751461988304,NOR
19,294.2501069005348,294.0,NOR
20,243.2860055208791,240.11287619290542,NOR
21,202.8964079831165,196.54333295160757,NOR
22,185.15978791211262,180.36913872996337,NOR
23,269.5260640555288,264.8229282145432,NOR
24,299.8767883124579,299.32408100392155,NOR
25,,303.4531248,LAW
