Minisector,NOR,BOR,Fastest
0,322.7198438242229,326.5383036398143,BOR
1,331.95845251555556,336.86925006019044,BOR
2,335.92220395789474,334.58525525131023,NOR
3,181.88511458140587,195.00319196270607,BOR
4,141.77033442382694,133.32883800315247,NOR
5,270.63421040730094,264.63615120177917,NOR
6,303.45495280357864,305.51195351625256,BOR
7,313.88761947468674,320.78249477311385,BOR
8,275.9312683552841,282.55038335633986,BOR
9,156.20610623433706,146.29529021187682,NOR
10,231.11877475866874,227.76314575567315,NOR
11,235.38305004217577,221.808855235492,NOR
12,210.55269320907064,202.88910426612003,NOR
13,273.7729083011142,270.8741914836556,NOR
14,308.4176959077937,308.7463065228833,BOR
15,317.5751653434921,324.5814037613993,BOR
16,275.8742781852923,277.81870259367844,BOR
17,222.46194869085045,205.03015655528355,NOR
18,279.8724390098392,276.5558673657143,NOR
19,309.8641573110809,310.43565327296125,BOR
20,323.20225667669604,325.5127804598528,BOR
21,310.85793554285715,314.241418382028,BOR
22,224.89703304959014,212.0657617009077,NOR
23,270.51271071560444,271.88859062201055,BOR
24,309.14449538037707,308.460750735507,NOR
25,316.35338218508616,319.9611114666667,BOR
