Minisector,BOT,MAG,Fastest
0,268.5614836448391,260.8491961888945,BOT
1,132.86533836976542,130.16762798222257,BOT
2,269.77372532244897,263.1783019722506,BOT
3,312.253830426501,304.07299976533335,BOT
4,310.20850693333335,300.73009311796017,BOT
5,321.21214847445884,308.1265622222222,BOT
6,335.2465911143687,312.53742758512215,BOT
7,339.26837110303035,313.395833472,BOT
8,205.43711201427658,212.22988281904762,MAG
9,203.9354358979124,196.24930615112225,BOT
10,180.25944041289708,191.01454383562935,MAG
11,171.04879457845777,159.8144165130343,BOT
12,259.0998131644578,248.58337969502148,BOT
13,276.14587878681317,286.4112755345508,MAG
14,281.00081285741135,283.13724478911564,MAG
15,272.79791459591837,287.72512544,MAG
16,190.62346859555853,187.74975883414115,BOT
17,195.8847962954284,196.61914169449554,MAG
18,245.92314942098605,235.39883370772046,BOT
19,291.5742472035389,285.1592236976481,BOT
20,311.9997398666667,305.47783296,BOT
21,316.5345497043478,313.85218972155815,BOT
22,315.0621527555556,312.6296666453334,BOT
23,261.82935776040205,285.1060087473648,MAG
24,117.2285245096583,111.48666855215917,BOT
25,,228.52333333333337,MAG
