Minisector,RIC,BOT,Fastest
0,253.7993064002867,258.6628349841239,BOT
1,204.00871146706632,208.00563695700941,BOT
2,220.53360347040993,226.1653294070649,BOT
3,262.3168484957945,266.57360612400436,BOT
4,275.20459673444225,273.09466413744644,RIC
5,223.6724128639586,217.22456665503597,RIC
6,99.16231164448804,98.38561206148566,RIC
7,186.53881121880167,188.8903772243922,BOT
8,268.8846696006417,273.42540548124634,BOT
9,291.7484310189974,297.77691103906983,BOT
10,301.4765281635119,304.4610901894737,BOT
11,300.7776861071241,297.65161518730156,RIC
12,116.84760504828942,113.90688620337369,RIC
13,215.179227753094,219.2494429453978,BOT
14,274.1062901571746,277.51787400075426,BOT
15,293.9452026829548,292.4862857557217,RIC
16,226.4027719962829,214.40512506664084,RIC
17,123.84528126834401,127.12220926632197,BOT
18,154.0765422802305,154.11792814062352,BOT
19,251.09356127357637,256.3113366350419,BOT
20,157.8343584343864,156.52297124324167,RIC
21,130.0123374225168,130.3090231339929,BOT
22,202.92502115229098,208.18951081506617,BOT
23,209.20622379146974,201.71880915163754,RIC
24,169.19490637807286,168.08858262883774,RIC
