Minisector,SAI,LEC,Fastest
0,317.5637437154346,323.5124603527014,LEC
1,326.00904966469506,338.2597086845113,LEC
2,321.83153778442147,337.55299979147867,LEC
3,184.17600921255888,197.59686505359403,LEC
4,125.8892529988628,111.69657654040321,SAI
5,261.59980368501596,259.1428776301351,SAI
6,298.62520737501507,299.8455919703309,LEC
7,312.49854831918975,319.9630421345992,LEC
8,268.1770744383261,266.8278967756935,SAI
9,139.31340684357752,132.35108011348242,SAI
10,209.55782793224708,207.15278045131558,SAI
11,209.75003486452894,210.1156605913454,LEC
12,193.6940788943653,186.39087450320162,SAI
13,265.25033835326644,265.8404390962446,LEC
14,300.8386540836458,309.0738745562708,LEC
15,312.30024986983653,324.723414660919,LEC
16,256.4276986107137,263.64061675709377,LEC
17,211.04163897072078,201.01619846007085,SAI
18,270.9847263232778,268.2660568318012,SAI
19,304.9638447895739,306.50964957798294,LEC
20,315.57901158466467,324.10838626913716,LEC
21,296.62425736630087,322.03941354666665,LEC
22,204.1284517960189,197.07947367414533,SAI
23,264.51435137186456,261.43105100458996,SAI
24,301.05511586279374,303.350330210915,LEC
