Minisector,HAM,RAI,Fastest
0,275.7570482206852,269.84850613005887,HAM
1,291.47649379343795,285.4769258789428,HAM
2,289.5869977613353,276.1442499503984,HAM
3,200.42761005473656,176.5316322234857,HAM
4,131.84607185682765,130.44654163836734,HAM
5,242.8391574626024,240.4025049145421,HAM
6,283.3177982257771,278.5520415152221,HAM
7,297.7530147189888,285.64281445535715,HAM
8,191.60539879293916,177.21974495560585,HAM
9,154.678439457826,148.00393471511595,HAM
10,253.3453940756525,251.30023845712319,HAM
11,284.1363957850996,280.4557019700102,HAM
12,293.79522040906016,290.32746217835495,HAM
13,289.3115778381171,286.2450293705669,HAM
14,298.48105571751,294.32435467098,HAM
15,296.5244402797999,289.2442742221469,HAM
16,266.60563457623897,254.25163926385426,HAM
17,243.75720691116356,234.65094405808773,HAM
18,284.0318364916553,278.67986856938006,HAM
19,301.4573627087106,297.5616288872727,HAM
20,307.61260252366435,303.6926244417333,HAM
21,249.2253937188489,236.371172790984,HAM
22,265.55238803849306,255.93325796686293,HAM
23,147.9425511958809,143.63538107968662,HAM
24,223.06924612322976,222.4248496497979,HAM
25,,258.27800728059174,RAI
