Minisector,HAM,BOT,Fastest
0,292.83731493901416,294.8630667918222,BOT
1,312.18196454857144,313.8400464,BOT
2,306.05241153657437,309.9727608231948,BOT
3,180.51718063853133,181.84126799375366,BOT
4,228.69974093030015,225.9387662989106,HAM
5,205.82137736049083,206.92337556030978,BOT
6,192.95043267051065,191.37121176543926,HAM
7,220.0228447264368,219.1197372019612,HAM
8,263.522188027898,261.9603653683867,HAM
9,258.7739100126984,256.9633928398813,HAM
10,177.11991556879653,173.76072106386414,HAM
11,246.09479981226667,245.57816669866668,HAM
12,118.7596599985724,115.86150410065378,HAM
13,231.66172054229014,234.15049984044128,BOT
14,280.05714240000003,280.83750010434784,BOT
15,291.25812330256093,283.237129797434,HAM
16,210.95825894930874,198.58952095873016,HAM
17,186.68739840069907,189.85398075238095,BOT
18,274.51003694545454,275.77256749979296,BOT
19,301.77013765090396,302.7912512543718,BOT
20,313.9406248,315.6929761904762,BOT
21,314.381547784127,309.3503867352381,HAM
22,272.6429847536232,234.63232420190403,HAM
23,118.33427417645011,123.62971983667971,BOT
24,244.48471699010082,254.19887794985982,BOT
25,278.27142765714285,,HAM
