Minisector,HAM,RIC,Fastest
0,252.09361830275554,250.4371454697299,HAM
1,281.57458325333334,279.1401246961039,HAM
2,171.96249462275216,157.04432697789775,HAM
3,169.97526149380494,162.5754941470231,HAM
4,261.19617634707777,257.4213544888889,HAM
5,264.3632597017811,263.05132495930735,HAM
6,219.8441744005983,214.42109733474427,HAM
7,206.43102483885212,196.22455992510203,HAM
8,158.15607825162905,155.13474091862653,HAM
9,220.04887876923078,222.61571444056037,RIC
10,273.8818181818182,274.7782087345201,RIC
11,127.53026165830957,122.96971394705422,HAM
12,218.9455284167383,214.72645099024612,HAM
13,272.73636363636365,269.9748382337662,HAM
14,290.13520837333334,290.31187170567455,RIC
15,294.975,297.9092040471151,RIC
16,219.78192239858907,215.66108676163878,HAM
17,135.21884454545454,133.94284440502358,HAM
18,140.15027046786443,136.48730591630678,HAM
19,124.97925481499495,121.38480430087463,HAM
20,222.26210542292662,221.690844947624,HAM
21,245.36904730209525,245.3615350438935,HAM
22,235.36763457634888,220.93296237411806,HAM
23,211.74209820689654,204.86490229648004,HAM
24,147.4552390404584,147.36544685333334,HAM
