Minisector,SAI,GAS,Fastest
0,247.03045579130435,243.66932704335238,SAI
1,283.1650904032455,276.4532774826667,SAI
2,172.10626305158405,170.08741963852145,SAI
3,153.96977037577054,152.79442544127136,SAI
4,256.84786439903235,255.30569457005714,SAI
5,270.52029810457225,264.8351278416649,SAI
6,223.49621379124798,226.42067257641025,GAS
7,202.93445550239738,203.98716225570007,GAS
8,159.13808635501184,158.1339707992381,SAI
9,209.79457359113678,209.93026589170069,GAS
10,273.4009427161482,269.89092423023766,SAI
11,124.26814229814171,130.9124140222962,GAS
12,202.5067891722046,197.74532714161103,SAI
13,270.18307157281265,268.7996373501968,SAI
14,292.20416914189894,290.63327203029905,SAI
15,302.2983332495238,297.6066523049928,SAI
16,231.7553519704435,231.71487990109546,SAI
17,132.60924538936757,132.5442472026282,SAI
18,129.4282168555215,128.11370577015998,SAI
19,116.6575243021261,121.51436160087451,GAS
20,226.81036905523587,225.56509673532,SAI
21,260.7100314362323,257.88579731803344,SAI
22,231.0529798163811,240.86937567706036,GAS
23,215.12024245486703,211.45333423354793,SAI
24,136.94935101261,134.54675533966187,SAI
25,214.0,213.0499968,SAI
