Minisector,VET,GAS,Fastest
0,311.08023084058203,293.01091297076607,VET
1,328.15225534292694,303.2047917333333,VET
2,314.35888145074455,282.2636337145349,VET
3,115.85901643251839,114.24531579010568,VET
4,224.867078020843,230.8810383057814,GAS
5,264.8164222949904,265.70252167725664,GAS
6,209.77755784344285,196.97072406083262,VET
7,160.4047903747009,170.6470163665637,GAS
8,194.90154923029246,191.58717811101147,VET
9,213.55698073079736,206.25185492244788,VET
10,114.55979080411464,118.48928584442805,GAS
11,230.8547290256728,232.88080020455928,GAS
12,117.73671009229297,116.3040909769189,VET
13,225.8143904460047,230.28956260610286,GAS
14,272.4610729195065,273.8138065388287,GAS
15,213.95964741652693,209.22280441270183,VET
16,201.4877332231974,200.88896184912716,VET
17,251.46840598566794,247.88046169646546,VET
18,200.72484172846077,190.1212992314261,VET
19,187.16208291868244,194.5266004093558,GAS
20,271.53240411775124,271.7300825057754,GAS
21,293.0713487591661,296.7272328342389,GAS
22,167.90265591624095,160.49980097933422,VET
23,210.56690167473383,221.04888317826948,GAS
24,275.2981618305999,275.1699439541591,VET
