Minisector,PER,LEC,Fastest
0,270.49537064231816,269.06624922245305,PER
1,290.7292636146283,291.02873452013495,LEC
2,294.1062950078908,297.73191029826216,LEC
3,125.75323065582411,122.30803990793483,PER
4,184.2234404250295,183.90997680823068,PER
5,249.4282592671073,251.5331776549382,LEC
6,132.56965733188275,139.39410148718298,LEC
7,193.4600530537228,196.2908123993957,LEC
8,255.09247048516423,252.74436244798133,PER
9,280.48139863070264,279.3305799599783,PER
10,229.92039516883452,236.2977971050293,LEC
11,167.33259544441415,175.7673444589611,LEC
12,185.2486652118895,182.34237514047115,PER
13,140.83330507093822,147.03128468637848,LEC
14,175.7099963287423,177.86302819814173,LEC
15,159.1078457488799,158.9007086537588,PER
16,214.03771861499843,203.7813183601468,PER
17,230.77504487499561,232.66708310528824,LEC
18,235.74347916937126,234.73834783131048,PER
19,233.3728325608753,250.1015469059539,LEC
20,145.06881552020474,134.71142810999805,PER
21,128.2192191571726,136.1626673798058,LEC
22,163.84713447671623,159.3012937171637,PER
23,150.23936327564877,146.64983135003945,PER
24,224.93095213711175,222.21191681622463,PER
25,,255.09999893333335,LEC
