Minisector,LEC,HAM,Fastest
0,295.0913591272178,303.869166264254,HAM
1,164.25554570923754,162.7591296523126,LEC
2,183.95038606772488,174.68399874504814,LEC
3,258.5700632868623,255.62395529535857,LEC
4,286.2332376973471,284.59093428147406,LEC
5,263.2430101414141,255.51260528285454,LEC
6,235.14401656170645,224.25293326358386,LEC
7,152.4485585793575,153.3629886004808,HAM
8,227.4196825221171,226.33180362994645,LEC
9,280.7084605375163,281.08435177604616,HAM
10,299.9570286595969,304.4893125359443,HAM
11,310.1395899870079,321.9669747821055,HAM
12,316.7732215008772,333.9152867458724,HAM
13,313.7780215856242,328.9890413970927,HAM
14,135.2697279424785,124.65979436885885,LEC
15,115.02256285686082,114.04462127360078,LEC
16,103.26043071573388,105.83098269200879,HAM
17,233.94569256267113,239.04086929887447,HAM
18,284.49601809831614,286.5800166758413,HAM
19,304.48878060344396,312.268022017697,HAM
20,315.19583510933336,327.8043200414815,HAM
21,314.9091025932524,330.32213947323567,HAM
22,124.30612101152833,123.77855411050497,LEC
23,208.285576336,211.3873046305185,HAM
24,272.7105631453974,275.1223718258325,HAM
