Minisector,SAI,ALO,Fastest
0,249.86012596657147,249.58567172402118,SAI
1,119.69663177193596,126.04566036892935,ALO
2,256.02121201965963,258.15992659513756,ALO
3,302.9333773488552,300.2549385052352,SAI
4,304.32032064610524,303.901749607218,SAI
5,311.98358149274725,311.1094878851282,SAI
6,314.813742315873,314.1936821387198,SAI
7,313.2000609188571,308.1635119949206,SAI
8,183.76253713314057,192.28034333045593,ALO
9,181.80923539374092,176.71952696621878,SAI
10,170.8400510220358,183.71459307852712,ALO
11,169.10111403067964,160.81745131123665,SAI
12,251.3621576626163,243.6580187031746,SAI
13,268.74703942066003,267.510112513536,SAI
14,278.2239722446828,273.72666935347564,SAI
15,267.6202225879365,265.89670341709746,SAI
16,166.9711050331108,166.60225018243156,SAI
17,175.6649411918992,170.70849830606252,SAI
18,231.05504225613444,224.8465763732926,SAI
19,279.7562289377289,277.6421820057631,SAI
20,301.1306130831911,299.337856896,SAI
21,307.0580116752726,305.15212461443787,SAI
22,305.2421330901745,301.5690720902112,SAI
23,249.55927458990053,255.36062597404833,ALO
24,108.67083958450594,105.39471412950756,SAI
25,222.0999936,220.31677070977221,SAI
