Minisector,VET,LEC,Fastest
0,292.93378831974945,291.6894671067105,VET
1,304.59337220253497,303.0333137833873,VET
2,309.2558808119369,308.2472222222222,VET
3,310.14511632133144,305.75578277258484,VET
4,178.0541142411243,166.48607512645626,VET
5,218.1312685417318,208.13990132949039,VET
6,246.56085821362407,228.46029079735126,VET
7,269.8542952623663,262.3207745487865,VET
8,272.0771911232971,259.6802796394188,VET
9,170.07796300949866,155.82218311104253,VET
10,238.15048412702657,227.10163127495298,VET
11,145.73296017986513,137.17286293449595,VET
12,230.27522870626353,228.26444349838724,VET
13,202.5786394644105,189.21491463464798,VET
14,220.20146398856232,215.0332557596099,VET
15,250.3266558564912,236.67092987275325,VET
16,264.46860464127303,257.3435938961689,VET
17,287.01739934932783,284.2165455735012,VET
18,142.68474073133507,132.42410165123016,VET
19,163.71539737504096,162.93972204618822,VET
20,150.46042615459572,145.48260307874932,VET
21,168.12578593879482,157.63154994927567,VET
22,121.70884128487985,118.24369381911539,VET
23,230.20380180345367,227.90829138799967,VET
24,275.99519525274803,270.1068295243851,VET
25,289.6401686816418,,VET
