Minisector,HAD,VER,Fastest
0,296.9355330581755,296.0934237600945,HAD
1,306.0191194316883,305.85777784,HAD
2,310.73227452239587,310.3010235634462,HAD
3,301.1030388187654,302.78299319727887,VER
4,162.8914080729449,173.2656250630005,VER
5,211.01734064141417,208.39643342034745,HAD
6,238.0929512025327,246.24280780650037,VER
7,267.2717636894117,272.48849376752906,VER
8,250.74254494222222,252.70620121723354,VER
9,158.03527158882946,161.96248317026107,VER
10,220.77977388571426,227.03697319755997,VER
11,121.80997939126031,130.7733685238051,VER
12,220.78519349533184,227.83498042747476,VER
13,159.7539493432222,178.97458990103686,VER
14,220.61535823580363,211.09494817590064,HAD
15,240.82911128278653,245.643560151548,VER
16,264.9325872923521,264.618973739787,HAD
17,289.66118096761903,289.50730645660747,HAD
18,143.67272426303853,161.90277043383574,VER
19,162.43977234351624,160.59819544687463,HAD
20,137.32633971646365,137.64861132035324,VER
21,225.94673219062233,218.98722141355879,HAD
22,262.822777415595,265.03569472,VER
23,249.14894920352964,258.20840858930615,VER
24,277.3588465181777,279.95437071350335,VER
25,,293.14166684444444,VER
