Minisector,RUS,MAG,Fastest
0,294.71142437034933,293.588234896478,RUS
1,225.4197126359158,230.59287702857142,MAG
2,133.25981894550094,129.24505104159363,RUS
3,230.33818594207975,233.2403960853108,MAG
4,195.88259729858282,190.42040663989116,RUS
5,241.59783793021646,244.83654516072562,MAG
6,221.15281989003594,232.76974480346155,MAG
7,255.85642837438422,249.5538020305991,RUS
8,283.0211134130444,282.86329353540765,RUS
9,199.68144146501936,212.4962975398315,MAG
10,207.69936852236103,201.6763793375599,RUS
11,270.51366537784554,267.6564861709031,RUS
12,210.2162084302793,209.95407466440778,RUS
13,249.50412162520723,241.88906090298852,RUS
14,288.8859754100709,286.9411161572827,RUS
15,301.34270461404293,301.72249845028574,MAG
16,296.1609347606734,300.29055076190474,MAG
17,229.3367944384549,236.0246899503056,MAG
18,267.2417571088254,264.1127367376794,RUS
19,292.2636408743896,291.98219361620136,RUS
20,304.2599346284948,305.2705212778175,MAG
21,299.8331331168831,303.3628578352338,MAG
22,148.66853651531434,155.03225337966845,MAG
23,230.3116445189896,227.49610731731622,RUS
24,279.790480255961,280.25510684414473,MAG
25,289.07083413333334,288.6288087071156,RUS
