Minisector,RIC,ALO,Fastest
0,275.4492542125004,272.97746389932155,RIC
1,296.0349047649524,294.6012152,RIC
2,290.59625394711196,293.4722822971362,ALO
3,175.91100591498258,176.03832429931973,ALO
4,115.85398477796868,117.95995084810124,ALO
5,236.49045646451611,232.02983790107527,RIC
6,279.6546471794872,276.53767063812495,RIC
7,284.69583372307693,283.3903853128205,RIC
8,177.39938421165832,177.98851101563986,ALO
9,140.13882409646754,140.00356511378754,RIC
10,250.7514363218391,249.88419464827587,RIC
11,288.1347586506899,285.9491524398421,RIC
12,296.46789117584933,295.0996669013333,RIC
13,285.03297621333337,277.6698717948718,RIC
14,295.15711429406144,294.30268135238947,RIC
15,291.8878573714286,293.6102386895238,ALO
16,253.2199326672495,251.11910842006017,RIC
17,226.03111933333332,221.9676144095238,RIC
18,274.5951073082995,273.59143383351727,RIC
19,294.51924590476193,293.1281665706667,RIC
20,301.56927079999997,291.7405958952523,RIC
21,232.4732404379936,228.55954293809523,RIC
22,254.1777492414509,253.05306329144207,RIC
23,135.5650887319716,137.65510794016566,ALO
24,213.02029715209065,208.2163675787115,RIC
25,,255.16875040000002,ALO
