Minisector,BOT,OCO,Fastest
0,310.2617119890284,300.00987658271606,BOT
1,239.06388806464645,239.21403236017315,OCO
2,131.43012905584038,130.74660131781877,BOT
3,239.39502618108074,235.61884802288395,BOT
4,186.1225261000414,193.53536355555556,OCO
5,245.4231025498819,250.309479752694,OCO
6,227.1004896362007,234.54966301525633,OCO
7,256.66599497634405,259.3764072636518,OCO
8,293.43427445144323,283.4247598237883,BOT
9,205.3479159338346,209.39528994190346,OCO
10,205.6702754978918,205.56907508795135,BOT
11,274.8185163047619,265.6110517079365,BOT
12,211.31703261983918,217.67831280850547,OCO
13,251.5402247973153,248.66908627956988,BOT
14,294.134833069545,287.67276823116947,BOT
15,311.4759647751608,299.4391025641026,BOT
16,314.5069789740865,295.07100723230036,BOT
17,225.83733500656157,246.32876311397848,OCO
18,269.9005509939607,268.2798980783359,BOT
19,304.20316680533335,294.4088141948718,BOT
20,320.7797010692461,300.38509604102563,BOT
21,318.41173092698415,292.717660997352,BOT
22,148.62140827733896,155.19601852180753,OCO
23,237.83638927493627,231.11320699357745,BOT
24,299.246723102188,283.9287888835884,BOT
25,313.6166666666667,295.46250026666667,BOT
