Minisector,VET,BOT,Fastest
0,276.2537085399324,273.5326657040866,VET
1,294.80658435534974,293.8111174343947,VET
2,300.62896361059313,301.9672615372541,BOT
3,133.24351528974472,128.27495768674734,VET
4,198.5633762311766,190.98346329011926,VET
5,263.19203767600266,257.5018763857798,VET
6,143.46360931992947,140.02567095336198,VET
7,209.73292160269392,205.25405340255767,VET
8,265.8100683637724,261.2201209073835,VET
9,284.9473814136178,281.25043481826253,VET
10,241.8411497892633,219.9213349264095,VET
11,183.665357923579,171.1077502163289,VET
12,192.45105927723824,192.01738162699502,VET
13,145.91956346712004,138.033157081939,VET
14,176.59028013336248,179.64705739169628,BOT
15,161.69230271274958,159.44983262418904,VET
16,218.00444311267276,221.245908695751,BOT
17,236.82664662961696,231.41201682458853,VET
18,239.82633795342562,242.37282004844522,BOT
19,249.4122396102248,227.36733322429185,VET
20,142.34309587290016,143.430965098796,BOT
21,139.06647638737095,131.15750046872688,VET
22,168.86321195570684,169.16711615711066,BOT
23,151.02930861308178,148.99767576052966,VET
24,232.822280406797,231.5294047906969,VET
25,262.32142628571427,,VET
