Minisector,HAM,HAD,Fastest
0,247.2014824911207,248.73335719963148,HAD
1,135.8814243185423,132.27060958148428,HAM
2,276.80021697374696,280.6296650102682,HAD
3,315.37128679336854,320.9282027402791,HAD
4,297.488320279001,298.6464783551323,HAD
5,320.124902081724,318.4849835409636,HAM
6,321.0482856484571,321.9217128237037,HAD
7,316.7059284658205,314.22944759590246,HAM
8,200.15290204511322,194.0335348222233,HAM
9,187.73097491045235,195.3193269638821,HAD
10,175.91001217154945,179.82839171550822,HAD
11,169.50651106734574,166.29125007701973,HAM
12,245.56220148201078,241.9699341407782,HAM
13,264.0211559920251,260.8894707564221,HAM
14,266.44419062439545,272.4726354819192,HAD
15,251.69332343673472,257.645844836129,HAD
16,173.93122395283217,166.97629944332064,HAM
17,188.7944882551974,183.82023674033087,HAM
18,254.90264165050965,248.01831069949074,HAM
19,303.22093512936834,302.76727448416966,HAM
20,316.69313519777853,322.74351951595105,HAD
21,291.7846091279015,312.79756924814814,HAD
22,275.23082002381227,300.54963798619457,HAD
23,247.03442271845972,243.73886019800253,HAM
24,117.62576080052722,119.55546232622359,HAD
