Minisector,STR,TSU,Fastest
0,291.69184791885715,289.60136324059465,STR
1,303.7657258828011,299.8269479168831,STR
2,309.357833343256,306.2671532840336,STR
3,307.9210571585185,304.0363967746261,STR
4,193.53753594183567,194.31238019420007,TSU
5,214.03754225015874,211.437311356089,STR
6,266.4112864618735,262.0581538768254,STR
7,269.5161485583673,264.5041315840086,STR
8,178.6792728047912,183.93089303487685,TSU
9,147.7901062161768,151.24787221947372,TSU
10,178.87258398845262,170.99978616071775,STR
11,257.5067781354882,252.9695041329372,STR
12,251.95109091980774,250.68847470920693,STR
13,224.95465668227675,217.25336196958628,STR
14,266.99069301225603,265.0145769645714,STR
15,163.56708596685667,173.97384948837148,TSU
16,219.64302468239617,206.216100172939,STR
17,239.260877912282,240.34189451599715,TSU
18,131.09361874303488,131.5186360524978,TSU
19,239.44657896868574,227.730600844987,STR
20,280.09927246674835,271.8682877605088,STR
21,238.18175284363636,254.51802193152065,TSU
22,134.81429103167955,138.33039321016557,TSU
23,202.7251485346457,197.49201635867374,STR
24,266.7189087278007,263.8833794069114,STR
25,281.90000000000003,280.01249920000004,STR
