Minisector,BEA,SAI,Fastest
0,295.9843333594228,277.11388893121693,BEA
1,305.42992192,285.66345061052635,BEA
2,236.37525902786598,221.2950541468132,BEA
3,115.84819315527348,110.5489125083015,BEA
4,136.0048186614478,134.5782177823547,BEA
5,257.5411320015903,259.2633159928723,SAI
6,253.18486721810902,242.46509959232574,BEA
7,122.08008441274286,126.97512438402411,SAI
8,244.1095262169412,247.38058028761904,SAI
9,248.69327389587303,244.20215795269755,BEA
10,212.67581526260503,192.48794332529098,BEA
11,149.54461768183893,134.7392662036536,BEA
12,200.28333847930094,210.59791481890514,SAI
13,263.3148949442142,253.33749185821947,BEA
14,116.4791545335587,109.13640828209968,BEA
15,180.3503987910101,188.2084877653583,SAI
16,260.7028084917513,266.62976532273365,SAI
17,309.7841495430606,314.31601717213425,SAI
18,318.72941075,334.7543832205755,SAI
19,322.49425546812273,334.28056861629625,SAI
20,326.3391874951111,325.29421271111113,BEA
21,189.37384436308633,194.46966267323012,SAI
22,139.48105274949626,127.74672857149311,BEA
23,183.95882745593445,180.59382110773743,BEA
24,233.50519741575891,224.4392691781818,BEA
25,258.0291658666667,,BEA
