Minisector,SAI,PER,Fastest
0,229.1635366421578,234.22678858807424,PER
1,275.9630004906667,282.82716629333333,PER
2,288.81529487893386,296.4624494365609,PER
3,293.9431819082251,303.2883282020704,PER
4,264.9101764766338,264.01288561224726,SAI
5,162.06999251215282,166.08316326592646,PER
6,255.15611252483401,261.25928103844797,PER
7,270.13121690299823,277.4188616168159,PER
8,212.4943962532213,202.0192612037065,SAI
9,215.30381957174117,216.62696303644637,PER
10,179.0255325811966,167.73808266685205,SAI
11,220.8711698933155,227.5118077640553,PER
12,203.68315075409515,193.0236324108907,SAI
13,216.74639062235835,196.74976559398496,SAI
14,222.6770623641207,215.00396457873853,SAI
15,174.74262648888887,170.50442146617095,SAI
16,240.78435893578413,251.0553152367816,PER
17,276.5955480015238,285.3937483798868,PER
18,287.52883031718426,299.309291750948,PER
19,281.21047476419045,275.4502900019491,SAI
20,129.97738987645675,129.22105536422248,SAI
21,162.90177650817841,152.5239110426135,SAI
22,151.54559111885726,162.13538175412165,PER
23,201.6265467019567,194.87745698206885,SAI
24,145.82099657797957,148.2370838039287,PER
25,180.46666666666667,,SAI
