Minisector,ALO,VET,Fastest
0,249.58567172402118,250.74842151947433,VET
1,126.04566036892935,125.97840477913559,ALO
2,258.15992659513756,258.0004025801166,ALO
3,300.2549385052352,301.3207975514286,VET
4,303.901749607218,302.9897518380513,ALO
5,311.1094878851282,311.03518979582867,ALO
6,314.1936821387198,314.9662674377778,VET
7,308.1635119949206,315.60220780524554,VET
8,192.28034333045593,182.8812825429223,ALO
9,177.93535192049276,184.74361156875526,VET
10,180.58493405307257,172.97833196414334,ALO
11,161.9351731216174,169.8067849196948,VET
12,243.6580187031746,251.37677391598038,VET
13,267.510112513536,266.05586581364605,ALO
14,274.10244704169315,276.7665613160874,VET
15,262.4139447964078,256.3826724673016,ALO
16,166.8237995490982,164.89381908147234,ALO
17,170.1647285039276,169.25445528704216,ALO
18,225.8223884769128,234.54719576564872,VET
19,278.38786928599365,277.09123841036194,ALO
20,299.5171700923077,298.28183303314233,ALO
21,305.30597076828406,307.26373241359204,VET
22,301.11452663566575,306.25856247874293,VET
23,249.8954747498059,221.4850414437066,ALO
24,106.77891327770027,110.76596309786109,VET
25,220.55279485328492,,ALO
