Minisector,GAS,OCO,Fastest
0,286.09069727625973,287.9617561362963,OCO
1,297.57541558257384,297.3317227670588,GAS
2,303.5252714801542,302.2745580958337,GAS
3,289.048529132549,297.44718467111113,OCO
4,170.73971332063493,166.67657229786496,GAS
5,200.44744455111112,204.85580417168254,OCO
6,231.91005872803055,238.40173980120605,OCO
7,264.53882352941173,266.7879963530159,OCO
8,247.6238270596097,251.49273367563637,OCO
9,160.47732891766134,158.47740526301587,GAS
10,221.17044979422903,227.44858898020703,OCO
11,123.68185743322752,127.14315304963785,OCO
12,226.5597121360809,223.36287057502003,GAS
13,178.93776901298594,172.28187722071428,GAS
14,207.08197957125446,209.32989249514043,OCO
15,234.903125015873,237.6968749726316,OCO
16,260.2960462417305,260.29310725852525,GAS
17,283.2588888888889,282.11190535687973,GAS
18,152.03311523088337,149.29683361427976,GAS
19,160.01360807720636,158.5441927834868,GAS
20,139.1042107855479,135.92323907807042,GAS
21,225.60776743480983,227.83088949664597,OCO
22,260.38139739912987,258.2554793548991,GAS
23,243.6343455053601,245.32589087547476,OCO
24,270.3009939044282,269.9433143725688,GAS
25,280.7750005333333,280.8291658666667,OCO
