Minisector,LEC,GAS,Fastest
0,300.07112115980993,298.6203483140474,LEC
1,255.04870790189997,251.2752169216159,LEC
2,208.32465320966776,199.82292435750992,LEC
3,270.94604991929276,268.130885230722,LEC
4,232.55351916430124,228.23640404574792,LEC
5,117.50850640531468,116.45796950758098,LEC
6,181.65978151725108,184.67536490724396,GAS
7,258.5522659646258,259.2498714423401,GAS
8,287.43139449982186,285.6060099335749,LEC
9,300.7141383495033,299.149120994124,LEC
10,305.98150926725873,305.47162681904763,LEC
11,237.82983907967798,223.44851528093676,LEC
12,147.17883323004764,147.4598113002154,GAS
13,259.4670791994365,259.1418376461767,LEC
14,290.34489456477866,289.90647142510477,LEC
15,300.5968219600119,299.4376769832519,LEC
16,298.17888300025936,297.34064618956916,LEC
17,269.3034949669038,259.8206400668087,LEC
18,195.98640837560603,186.79305837463053,LEC
19,191.63607377133033,186.36880575112556,LEC
20,194.5747568974024,188.38718292100944,LEC
21,253.778025667695,246.85407498263422,LEC
22,129.4347116553054,124.85000309703773,LEC
23,202.25711502390854,207.59798650274595,GAS
24,279.0749965258373,276.7983026065319,LEC
25,293.1562512,,LEC
