Minisector,PER,TSU,Fastest
0,269.34379598814814,265.66124965333336,PER
1,288.3089663851583,286.0154135627052,PER
2,291.03768579950616,287.92655344858554,PER
3,126.91193873026306,121.18403887212425,PER
4,201.47873875482992,183.13300750567618,PER
5,254.14621806577614,249.48111284506714,PER
6,138.30586547198627,134.70089343027882,PER
7,206.15322790851937,194.3089794662825,PER
8,259.8616650173243,252.54089131154743,PER
9,279.9373109593277,276.31556051649125,PER
10,223.87362651499132,227.05152072526533,TSU
11,181.27087804285472,175.4306510895922,PER
12,189.9633069202101,180.64394406616418,PER
13,133.1781501093082,141.8230380041762,TSU
14,176.59159575228398,168.43715092519435,PER
15,162.7454427706478,156.93491362268833,PER
16,217.17755014836362,211.30448040347684,PER
17,233.36184436148147,229.43954054061916,PER
18,239.62845984907827,230.48188295508487,PER
19,230.26071840578888,236.85493857701917,TSU
20,146.83573378214123,140.4507774276193,PER
21,138.42669142122122,134.23589160000597,PER
22,170.4900657171757,162.00545531273323,PER
23,150.04574721984554,142.9350709120967,PER
24,229.34096978166428,219.1571533085412,PER
25,256.35499904,251.05219070707156,PER
