Minisector,VER,BOT,Fastest
0,297.3660486218552,292.902976152381,VER
1,298.231140322807,295.22687498666664,VER
2,298.0859649122807,296.42324564210526,VER
3,237.86428717404294,238.009075144776,BOT
4,235.689080595482,239.17859851348595,BOT
5,114.06216428178999,119.37720395018545,BOT
6,216.5865651359961,219.44660543209878,BOT
7,269.6600384,270.0965128489796,BOT
8,235.8200293025349,249.72787074120083,BOT
9,114.80824989746492,117.50380942293074,BOT
10,235.84992888076192,234.79514464368313,VER
11,253.9077048996234,259.7379329385281,BOT
12,137.47156940436804,142.2624796116734,BOT
13,213.05251440311253,212.10553775783424,VER
14,270.5224207746032,270.7284117778358,BOT
15,234.18849873066665,245.9393622095238,BOT
16,159.74863455022813,157.3900285222384,VER
17,241.89166715362316,240.29533675555555,VER
18,128.376485640551,127.32726327295471,VER
19,148.0042577142093,151.73710133900818,BOT
20,188.88625123555553,194.36801962036125,BOT
21,258.6791045643318,260.3844139695057,BOT
22,275.9346373514739,278.93630943492064,BOT
23,283.5873016888889,285.01162262456137,BOT
24,290.2979465447619,292.26444679989027,BOT
25,,297.0,BOT
