Minisector,NOR,TSU,Fastest
0,294.85579257824566,284.85340136054424,NOR
1,310.88268996208126,293.42994628593306,NOR
2,317.12822205155555,299.1359524190476,NOR
3,301.7560428152381,294.93335600907034,NOR
4,159.0908630941436,158.21118520666698,NOR
5,198.51447352156373,195.86415692342857,NOR
6,212.9500325185185,213.14642841074925,TSU
7,256.8361716709849,257.36064285714286,TSU
8,243.04690050521037,230.03616807599454,NOR
9,150.52000475515646,148.83056268167388,NOR
10,212.97613550266766,214.74776636742277,TSU
11,125.6076932388765,126.35423608223734,TSU
12,231.42538349124106,228.98889216843762,NOR
13,165.61943252000447,168.43176951318904,TSU
14,215.56839555114874,218.89286304604485,TSU
15,217.37730681565358,216.53532958545455,NOR
16,251.22229221044736,247.18206060606062,NOR
17,278.07139905142856,279.8338840571429,TSU
18,143.76954491778702,146.42562089925914,TSU
19,168.25189750389143,162.5912386335964,NOR
20,138.91543716222543,130.39207866357785,NOR
21,145.98997257653662,145.29283560016393,NOR
22,105.3992966816138,108.19451695456573,TSU
23,220.6745866752877,213.67853907787477,NOR
24,261.5261250368831,264.08132034632035,TSU
