Minisector,HAM,VAN,Fastest
0,302.4023579608894,294.1003607652174,HAM
1,160.62861754139195,155.1585739531888,HAM
2,160.53534404472313,152.382298332693,HAM
3,214.7302578605725,219.23029727422002,VAN
4,281.71626052294374,281.7452349796368,VAN
5,295.0666797889054,285.6942017590062,HAM
6,153.86618197218223,143.31446668416672,HAM
7,142.57633234924538,138.0725601451943,HAM
8,156.6866845555949,152.52330031889394,HAM
9,168.13574491045637,172.2932930522774,VAN
10,135.342967427839,130.51831468698236,HAM
11,127.7271365367481,126.17602279131631,HAM
12,154.95912974874688,154.67344905084673,HAM
13,262.8545967209065,260.9531528390346,HAM
14,287.62632576969696,278.7845239122153,HAM
15,153.39047416470083,151.5082868684567,HAM
16,215.88378244871865,210.3038043957889,HAM
17,161.5256425408678,155.2729402590529,HAM
18,264.2981737290207,263.12764593462924,HAM
19,290.04734865454543,286.9675210222424,HAM
20,303.8513425070578,297.7943179151515,HAM
21,312.7883333333333,305.8704122274442,HAM
22,318.19166679365077,311.558712,HAM
23,322.82895829333336,314.5788094628571,HAM
24,319.74452958911564,312.65875013333334,HAM
25,,311.0,VAN
