Minisector,PER,HAM,Fastest
0,304.5251009197848,300.8512595974095,PER
1,238.783278799552,229.31510860546032,PER
2,126.96122338500594,135.43885371757403,HAM
3,242.3046287664261,245.97524985779845,HAM
4,189.87999180268963,191.96616683020682,HAM
5,248.10733536234346,239.65652069538316,PER
6,233.82120216997427,226.23560035003067,PER
7,257.9067521220838,256.309842894686,PER
8,291.26323010077925,288.160485689613,PER
9,199.3206198723986,209.31120370541393,HAM
10,199.22454689023857,198.11101044464058,PER
11,272.0243614371848,272.62612346225893,HAM
12,211.29900116813852,222.23665759957973,HAM
13,250.12624828472482,246.755296738322,PER
14,290.75981573333337,289.29895689671844,PER
15,307.4681968181521,305.0093142888889,PER
16,309.1143442144108,308.28675321988396,PER
17,212.86931547649968,213.60822475873982,HAM
18,262.25817636200014,257.31367042543354,PER
19,295.11545596275135,292.5229481096296,PER
20,309.82688490522594,305.4808682452301,PER
21,312.2462794648196,304.7463614640665,PER
22,154.75367087404277,152.8389317078868,PER
23,229.70396837315022,226.94859192063046,PER
24,286.9079881576434,285.19994196269084,PER
25,,297.682144,HAM
