Minisector,PER,LEC,Fastest
0,251.89411714504357,259.64464706097186,LEC
1,124.4118391155204,120.99345982749018,PER
2,259.7868469361743,258.5632149217535,PER
3,303.85295083210883,300.7375290096649,PER
4,305.4982589734666,301.7943303284656,PER
5,314.62854438381396,315.6281104594709,LEC
6,318.59262820512816,330.10349881343916,LEC
7,320.5726062369785,333.0003883826388,LEC
8,184.73277763160198,189.82355159529814,LEC
9,184.49343453437498,186.29983452821088,LEC
10,181.02577617580602,180.6239212344052,PER
11,172.98906091781387,177.827993569188,LEC
12,244.15984594068584,253.55509750631194,LEC
13,270.21230568384874,270.6480681946921,LEC
14,274.36791051278436,274.87740957976564,LEC
15,274.21962962962965,270.30540603546217,PER
16,171.9980295924463,177.87436281784096,LEC
17,180.963795956139,182.2769627648865,LEC
18,230.4535456484127,232.870148882443,LEC
19,281.63432876705815,278.82284813184873,PER
20,303.56038957126043,299.4589554663832,PER
21,309.62558107051865,303.46588510078675,PER
22,308.7344357430857,304.16326203977144,PER
23,241.1636957125336,236.51359884799308,PER
24,109.48072554765261,113.50998788490419,LEC
25,223.8250048,,PER
