Minisector,VER,BOT,Fastest
0,268.81765170072384,270.071541341498,BOT
1,294.8557202996115,300.57305934225775,BOT
2,311.6233009188991,319.49559936820515,BOT
3,318.66112169025644,331.485003674014,BOT
4,324.0143612676923,339.55831329862434,BOT
5,323.72265645,341.7695436952381,BOT
6,204.42042483286207,205.39022294233766,BOT
7,103.13087323667428,102.19194707156902,VER
8,182.1011543642328,176.60257752029304,VER
9,257.9886363649732,264.68633361707157,BOT
10,286.88028461414143,296.5778475747186,BOT
11,160.3969177676055,157.08885824,VER
12,96.08736592198058,92.30082592591327,VER
13,113.99616628118254,114.21741500236443,BOT
14,219.45099060548563,215.4467627412582,VER
15,184.25539787973855,174.25613963728168,VER
16,218.7516377880129,214.84811752266535,VER
17,174.86301705003956,166.239181857573,VER
18,228.67888099690234,233.19149214882233,BOT
19,274.4207338948776,281.5077545972288,BOT
20,239.3307679847619,241.07667788700843,BOT
21,145.17240175317025,135.88146965445924,VER
22,98.13204428611672,95.30072323118189,VER
23,122.68240458822955,116.28118914306059,VER
24,223.06943569661826,220.90037688072195,VER
25,252.65,253.4249984,BOT
