Minisector,STR,MAG,Fastest
0,294.47306807709094,314.5837963407407,MAG
1,222.01189827675424,201.51222668031383,STR
2,230.43120338189715,226.03264640266832,STR
3,274.71839655251443,282.5409007554411,MAG
4,245.48642710915752,254.00040584415584,MAG
5,128.66349141548213,123.96935417714572,STR
6,213.20351249293623,211.09075755840047,STR
7,262.96838648838093,265.24,MAG
8,247.41072933791247,246.7582968290909,STR
9,241.4027669854384,237.15629831127094,STR
10,275.7732094681905,279.47208507024914,MAG
11,291.86807680961675,301.3362239419501,MAG
12,301.5787834055053,319.22008145363407,MAG
13,305.37267205182184,329.6339764477075,MAG
14,304.57102960941177,335.22717975906875,MAG
15,252.03190895304348,259.798123500473,MAG
16,246.21091970667004,238.53649079115948,STR
17,282.2678967651371,283.97879818594106,MAG
18,294.13693952827543,302.42907299262515,MAG
19,153.92274334654655,156.35097454282587,MAG
20,208.93090979109553,205.4357359506774,STR
21,182.58100323697778,174.11009575022868,STR
22,147.65434966098042,135.66965036534216,STR
23,238.519650364943,241.91324790949406,MAG
24,282.46780210151877,284.3240490923738,MAG
