Minisector,VER,RUS,Fastest
0,323.44350764295353,306.0064600193016,VER
1,246.67733135746033,237.20476014679508,VER
2,124.18738121442819,124.93882239305907,RUS
3,240.93798409384732,238.25296766805408,VER
4,191.70348269796696,192.11070738991674,RUS
5,251.27695862289175,243.50243152278574,VER
6,235.8704512191062,227.03002117967156,VER
7,256.9349283752248,252.88969168957192,VER
8,291.3423724711111,293.3851207475701,RUS
9,214.37520010950516,198.20070642025053,VER
10,192.7272087123707,202.66216241730282,RUS
11,272.350345038002,273.38157557375496,RUS
12,226.32795559461528,210.60718997099175,VER
13,249.02141147878788,252.84385723855323,RUS
14,292.77215429075346,293.5177825481765,RUS
15,309.8318920725265,309.47138617920155,VER
16,309.07043630629863,309.00035744,VER
17,213.23095734377173,203.61799987524518,VER
18,255.51693974641537,261.6319943264596,RUS
19,295.4484487256219,296.14901186294605,RUS
20,311.1933537202336,312.1980257887061,RUS
21,308.31624662643276,311.7752229848933,RUS
22,157.013046268743,145.14872057218165,VER
23,226.30748340323203,238.47555182391534,RUS
24,286.6940209798758,288.9399478772313,RUS
25,301.9312496,,VER
