Minisector,ANT,GAS,Fastest
0,306.09174600380953,305.9509394145801,ANT
1,312.8286011352381,313.3583376054422,GAS
2,298.1809896612139,305.44756932664995,GAS
3,179.6723162623164,183.15779507926555,GAS
4,226.89687787260695,213.73297296534443,ANT
5,198.812158021508,194.2750220080022,ANT
6,182.2029410157279,177.92708535140807,ANT
7,207.96349673860112,205.52881440382788,ANT
8,256.6155050989899,251.5072041276679,ANT
9,257.495726143569,249.35366891797628,ANT
10,176.67609989250582,171.4006473946903,ANT
11,234.0725669608602,231.68870977738766,ANT
12,127.6445121273051,121.78893564216612,ANT
13,237.99091774157571,231.91672516748494,ANT
14,279.42916684495236,275.09245427643447,ANT
15,275.2711866968116,273.7636890460079,ANT
16,209.24040290921408,206.4522496163771,ANT
17,190.5570478610364,196.74514492350383,GAS
18,288.13995046545455,286.38800534488905,ANT
19,317.2170246899577,317.3792796329004,GAS
20,316.3078732293333,317.3870136821812,GAS
21,291.5804927751045,296.9725861954579,GAS
22,257.84383255948853,262.7844633879365,GAS
23,124.92041083912055,124.26296527638794,ANT
24,251.71800647064373,246.41255304691356,ANT
25,,291.34000128,GAS
