Minisector,NOR,PER,Fastest
0,331.88386811108234,310.036088095577,NOR
1,230.72164564636998,224.3753319290508,NOR
2,135.72896518059574,136.59143792087073,PER
3,223.1899111354197,220.08861939538127,NOR
4,267.30673437334,263.8904336620457,NOR
5,291.83699343392516,289.39579839278605,NOR
6,303.50457566261497,304.9785932388598,PER
7,267.3965826091903,279.4760848867212,PER
8,167.0335293191652,172.46568930823358,PER
9,243.3571467491463,241.85340714534246,NOR
10,274.32236087420114,273.18140909087106,NOR
11,260.34802837854875,259.0293553125792,NOR
12,211.5244974158401,203.578346833208,NOR
13,129.86534776010615,130.8969671427524,PER
14,123.31177248038517,124.75196788891586,PER
15,163.40685202475078,169.08148148864507,PER
16,127.51315639102137,124.56613560774908,NOR
17,236.49794096413285,228.75375611672007,NOR
18,179.35876648226932,182.93521707627698,PER
19,166.5145534167818,164.6102549100818,NOR
20,249.0515372643136,247.30904344368315,NOR
21,277.91465681371164,275.3912656938812,NOR
22,296.94954163816243,291.6825390082382,NOR
23,307.9028580402099,304.2625941897656,NOR
24,313.7190476190476,309.61815870505296,NOR
25,315.0,312.0,NOR
