Minisector,VET,SAI,Fastest
0,292.2644673185185,306.66245073693267,SAI
1,302.7927082666667,324.2275000177778,SAI
2,307.38562868025286,334.3509523809524,SAI
3,307.16911861960784,321.5255204,SAI
4,180.43396263704392,165.44688005648604,VET
5,216.86484958487267,213.9254411541973,VET
6,248.39611639727892,241.9797915504762,VET
7,272.4896330400687,268.19398157037034,VET
8,274.1178235259259,256.8739033267093,VET
9,164.77252772203036,164.27069918279568,VET
10,233.61390582164503,228.9639209939394,VET
11,138.22061004176186,133.17289767716568,VET
12,222.34891117184267,227.90411229530136,SAI
13,194.46184639774623,186.45406701584344,VET
14,220.14499363463202,221.2960880142565,SAI
15,254.27416656,246.50735236667342,VET
16,266.6801958907518,263.9897919542857,VET
17,289.6486110222222,285.36767160685207,VET
18,133.64462734035087,126.33379504917494,VET
19,166.15169851770742,163.33624134184817,VET
20,148.01596611316526,149.9281575168901,SAI
21,168.79347182222222,160.4472351262673,VET
22,120.70187320369871,119.48596912617421,VET
23,231.5498807667186,233.66649572852705,SAI
24,274.1346804130326,271.613970572549,VET
