Minisector,ALB,PER,Fastest
0,232.09494104606006,230.62046782495003,ALB
1,279.2484363999153,283.0313329913834,PER
2,293.1632911339625,299.3041159162772,PER
3,300.08594256876506,306.61304782803165,PER
4,267.67838382217946,275.1183394041562,PER
5,169.7046605353881,164.94318482799517,ALB
6,260.24787404253937,259.5292810053604,ALB
7,277.7701958238806,279.4973365715933,PER
8,222.91164410694327,210.99143421959963,ALB
9,216.61168150583623,218.21656009755253,PER
10,185.17351501848552,181.42990237499913,ALB
11,227.60773391722051,225.4962340275169,ALB
12,210.85877541884938,200.48449966827894,ALB
13,220.09085218032723,211.45228620863472,ALB
14,225.9239233565302,220.21004292562708,ALB
15,183.75349954613193,177.51214903867236,ALB
16,245.31813994546584,244.1738805342488,ALB
17,281.95409509958836,286.8677173405867,PER
18,295.09202515074276,300.32215145823767,PER
19,286.40091789386685,286.8371428431608,PER
20,134.48384709376472,131.37053733096536,ALB
21,163.70875177367188,168.24703847654152,PER
22,158.00733224400403,149.07319792499595,ALB
23,209.1252812398018,202.91581068255962,ALB
24,152.68417953235468,148.05091500725308,ALB
