Minisector,STR,OCO,Fastest
0,287.07244636168303,301.34393011757714,OCO
1,299.2388890122449,315.64188586666666,OCO
2,303.2654849797896,322.92892162877024,OCO
3,296.7211010590476,319.9333041066667,OCO
4,251.79044962133332,183.12830333476353,STR
5,184.95415385899443,220.64353931553754,OCO
6,255.1504223301587,268.91155287272727,OCO
7,276.5694618231643,264.6108661003951,STR
8,202.08037587956989,184.62330773333332,STR
9,201.99119581198568,149.3925255799638,STR
10,140.9890658871359,182.7748947162034,OCO
11,246.61348968746185,260.89185606870797,OCO
12,271.65960139130436,250.06445799246177,STR
13,226.04462323174062,226.8431235095766,OCO
14,259.94124554285713,266.96022715151514,OCO
15,222.61030500411192,176.37231118602455,STR
16,178.05490315294116,221.88513978609663,OCO
17,255.5156555409727,246.7517736174221,STR
18,147.12974762170543,135.5277243567252,STR
19,208.85704029359925,238.91863658891614,OCO
20,273.46231132121216,279.22182542222225,OCO
21,287.4524037052956,246.07602805151475,STR
22,160.35274074385967,145.78989089261597,STR
23,176.63916844743162,214.19920229958052,OCO
24,258.66198436580055,273.96684612655014,OCO
25,,293.425,OCO
