Minisector,ALB,STR,Fastest
0,273.54634493718225,271.29917128707484,ALB
1,290.4065238064762,291.4311856409019,STR
2,289.09102907529603,289.25038882133333,STR
3,197.63736962882882,181.31051166773628,ALB
4,124.14276575644733,123.40166649010966,ALB
5,238.78231674592934,236.83093555977305,ALB
6,280.63303602637365,280.5622191634804,ALB
7,287.711666688,297.6505783555555,STR
8,187.43020713333334,184.04693897223765,ALB
9,141.7199871585785,140.4151092735206,ALB
10,249.69367511926134,249.39350542111444,ALB
11,284.40171740952377,285.25727931750384,STR
12,296.02383338666664,298.1837617859048,STR
13,290.94023808609523,278.781646510483,ALB
14,299.0706256870897,298.02302403047617,ALB
15,298.69023779961907,302.9518529128885,STR
16,259.34735313156966,254.7264293142703,ALB
17,227.4114927849797,219.72203973865814,ALB
18,280.47090725245795,279.17885846913583,ALB
19,302.87142139431245,305.20713608861126,STR
20,304.63888844444443,312.0032608,STR
21,235.50097480564384,226.47041973469908,ALB
22,260.73459893333336,256.38987560719045,ALB
23,140.90172801386288,136.49415639439167,ALB
24,213.2195225308337,208.53488892094856,ALB
25,255.81250133333333,254.78333226666666,ALB
