Minisector,PER,TSU,Fastest
0,244.31323568953712,241.76374508051947,PER
1,277.366944167718,274.69691948977345,PER
2,180.2238389281439,182.9304725157248,TSU
3,148.79709163705834,149.77121848029353,TSU
4,254.62159997384754,254.0098014867792,PER
5,265.7395781735727,272.1896374678261,TSU
6,225.6239092530939,236.8581376586166,TSU
7,204.54279634708416,206.75778337210085,TSU
8,154.5577589297571,166.13536754978352,TSU
9,209.43537463077317,215.09640842221015,TSU
10,268.5023348738949,268.75924140376856,TSU
11,123.0432868482469,132.4605979058134,TSU
12,204.70179534365812,202.11198595897437,PER
13,268.4458598484849,268.0663404502971,PER
14,290.1931450721084,289.52613993425047,PER
15,298.59014223871367,299.1018884237873,TSU
16,245.03634998881844,254.07836918777383,TSU
17,134.20245128786527,136.1089950912272,TSU
18,133.10281354054067,135.97623620789642,TSU
19,119.25538929349055,124.28452038921891,TSU
20,221.3229202835055,221.26837856326532,PER
21,253.68984444444447,258.42085391363065,TSU
22,240.94865495234174,242.89827836020066,TSU
23,214.61171319102354,216.6861001734385,TSU
24,140.22533566400244,133.99325974753958,PER
25,,213.33036022857144,TSU
