Minisector,SAI,ALB,Fastest
0,279.72748651779284,280.3687981424142,ALB
1,241.6112927780246,251.61966669598232,ALB
2,274.1283419143341,272.90616979196693,SAI
3,290.96949863851086,287.2395395219344,SAI
4,121.34469263622398,122.99678911507081,ALB
5,210.7313845650746,204.1490331606979,SAI
6,271.75096547293776,269.7216192594413,SAI
7,305.0759879319455,303.1989803242308,SAI
8,321.3624998857143,317.8906751189545,SAI
9,328.4314262975549,325.6394105469589,SAI
10,290.6056563620944,305.6669554173295,ALB
11,96.57046441637486,99.45973274421435,ALB
12,224.60216687299535,219.51087797763924,SAI
13,274.7416780281188,270.99947612517815,SAI
14,269.5516132467224,275.32289214163734,ALB
15,126.07601463940436,133.0783440728021,ALB
16,198.75138930301853,194.37335766618702,SAI
17,256.8552332280744,247.61236659918114,SAI
18,256.3640354807018,261.67377813272105,ALB
19,248.3602080981344,236.0744681494979,SAI
20,147.10184026200247,150.14977734063248,ALB
21,190.72960609362508,177.3583402589262,SAI
22,165.76162504697822,169.33945545555173,ALB
23,189.22469221709204,178.33876707344328,SAI
24,252.86363201540303,243.59270149622375,SAI
25,,267.5625008,ALB
