Minisector,RAI,RIC,Fastest
0,279.96943692917915,274.0464236574194,RAI
1,237.3685890880026,243.91931966795778,RIC
2,116.10882243382306,122.37714873423249,RIC
3,193.09854381152147,191.23985575251052,RAI
4,180.425647554406,187.87697442162946,RIC
5,217.34015440007988,215.5578167423339,RAI
6,281.8195577751095,274.50179817619903,RAI
7,299.599103790593,293.35044523544474,RAI
8,184.98431968929765,190.0471260808268,RIC
9,130.4734500989129,137.4818302249673,RIC
10,132.2724928877548,133.5726536464332,RIC
11,191.36019933188226,187.5671789226133,RAI
12,224.2261421087629,232.52524736296263,RIC
13,130.56841971667905,138.45336707847963,RIC
14,156.00531255668483,162.98423899064267,RIC
15,122.00103244792527,121.2315722990146,RAI
16,256.8982223458857,252.48462359868614,RAI
17,146.07677050392246,155.2996516367633,RIC
18,200.35156632063547,191.92749664718775,RAI
19,136.94685954284728,143.64115871599415,RIC
20,148.7638666087017,159.81279617546656,RIC
21,126.45335384760816,124.22138616111819,RAI
22,142.28052678359066,142.09680739019836,RAI
23,217.44429604737337,223.25346726394372,RIC
24,230.47488323701455,221.78635512417824,RAI
25,263.04166933333335,257.46766247726566,RAI
