Minisector,BOT,VET,Fastest
0,285.03783059504764,295.90229113462544,VET
1,164.51712161143539,162.00951467821454,BOT
2,155.0219409027613,155.83020937614035,VET
3,220.83378230204082,226.58271541728394,VET
4,280.2687504484848,284.87108086349207,VET
5,284.01840146666666,291.2615185262713,VET
6,149.16235345053673,150.51559538963485,VET
7,144.82990567757577,143.1388649923345,BOT
8,145.2354829326257,153.92037797918053,VET
9,192.76228353960636,182.44294040008967,BOT
10,130.7313900345967,129.90525526758486,BOT
11,122.9382293425685,127.42939532742442,VET
12,174.28531037877653,162.30004818634842,BOT
13,268.0104169333333,267.0988085594558,BOT
14,285.43985658863744,289.36826792070025,VET
15,155.9459785738849,156.81642924975864,VET
16,203.15727536625624,218.76061068505746,VET
17,183.33177617447566,168.13564507921254,BOT
18,273.0990336976566,268.149332736,BOT
19,293.2699529293802,293.88576806233766,VET
20,308.00122190828546,307.16917272380954,BOT
21,316.7425739468271,315.1079008440767,BOT
22,317.5761056103422,318.4803272609524,VET
23,322.77893511111114,319.87437493333334,BOT
24,324.13172607238096,319.1451205282978,BOT
25,320.0,318.73055573333335,BOT
