Minisector,HUL,OCO,Fastest
0,276.58203174015955,273.66622530934745,HUL
1,295.81086846245455,291.9568096082822,HUL
2,294.06213161126175,288.64678577980953,HUL
3,187.24293529128292,186.70110558428684,HUL
4,123.27955691886905,125.89678585098184,OCO
5,238.859811372043,237.41207771809522,HUL
6,284.59656874508613,279.44366695630026,HUL
7,290.36746802051283,286.5961540923077,HUL
8,179.19194959070674,180.68027803090297,OCO
9,141.46638034051148,146.16131728865196,OCO
10,251.7498623079108,249.76795928275862,HUL
11,287.0564842431952,281.5494806954764,HUL
12,300.5828158767175,288.2841118769231,HUL
13,286.869333248,272.4458331259259,HUL
14,300.62132906666665,294.88268825396824,HUL
15,306.2929131021568,295.42983362438093,HUL
16,259.7816980571428,250.76611312446636,HUL
17,223.2378197736648,228.8664180144451,OCO
18,280.2974510639495,279.10226155885715,HUL
19,303.78027777777777,300.66149994666665,HUL
20,301.5163461505437,301.59383120592594,OCO
21,225.86650052967914,229.90762666190477,OCO
22,255.12294826773964,254.71241076717476,HUL
23,138.2681047943879,139.1704240595911,OCO
24,216.04081657703293,215.25799818618125,HUL
