Minisector,PER,ALO,Fastest
0,298.4795303957672,295.1608776186855,PER
1,218.18214749308407,205.57159297715967,PER
2,227.50144571213676,231.70621436695538,ALO
3,275.3559981000448,275.6912539758764,ALO
4,238.18272908307694,243.1329892340765,ALO
5,126.52202467885132,126.65536895300485,ALO
6,209.77736893683812,213.39210877434218,ALO
7,263.95528837056276,261.6223917464965,PER
8,256.59173814214876,249.36267893206352,PER
9,245.35851001109629,243.2754226084061,PER
10,280.03738544,276.82875981664813,PER
11,297.8673122278095,291.5573032942341,PER
12,306.74733106539685,299.61241124631186,PER
13,310.5075065312169,303.0483135153439,PER
14,307.6548723875969,302.9041351111111,PER
15,271.35701454343683,254.42279926153847,PER
16,246.46731538655217,248.79748025301106,ALO
17,281.42944213333334,281.8955721428496,ALO
18,289.6823234143319,291.5239581637054,ALO
19,157.73270300993553,170.11599290594836,ALO
20,207.40545727407593,215.8948178140082,ALO
21,188.42272985708183,190.2722191051948,ALO
22,140.28631277587914,145.90293351555258,ALO
23,239.59714236720686,243.02819058019088,ALO
24,285.71414856922803,283.19335609904766,PER
