Minisector,OCO,LEC,Fastest
0,290.98906213333333,291.9543391955506,LEC
1,301.72662856666665,303.3369426488889,LEC
2,158.4149164001242,162.64179891612903,LEC
3,222.0687136721885,222.57315629216987,LEC
4,276.6271941904762,273.888971482353,OCO
5,296.69886087316917,295.3427088,OCO
6,305.3466145333333,304.5303637405501,OCO
7,178.24098388338882,175.67545713439154,OCO
8,124.19762391487765,125.07060391597575,LEC
9,249.79800908935502,247.05642427669173,OCO
10,285.60499996444446,283.87818679215684,OCO
11,297.90026033333334,299.02138830222225,LEC
12,150.91850652687057,146.39368402655123,OCO
13,189.89719181180476,188.74891575652174,OCO
14,260.6357445427984,258.29802728421055,OCO
15,194.66284791111113,189.4386793532658,OCO
16,217.34598110838652,219.8186810267574,LEC
17,208.02424281212123,207.75939973095393,OCO
18,240.7701945939022,242.90104298666665,LEC
19,274.6416665098039,275.53085988333333,LEC
20,292.34834447619045,293.13470861798055,LEC
21,255.79396956087314,251.09802397192982,OCO
22,218.54394007272728,217.35051816499006,OCO
23,201.64015132121213,203.96799432727275,LEC
24,265.46842173007394,266.56993598228416,LEC
25,284.18333226666664,,OCO
