Minisector,HUL,ALO,Fastest
0,309.09458876453203,319.47064567617963,ALO
1,303.61039950145755,322.8364601234286,ALO
2,163.1046874984795,181.5941408181406,ALO
3,154.95796255142955,147.78999402764978,HUL
4,197.54646215555113,202.8705990849623,ALO
5,145.86017653355455,145.54421469569644,HUL
6,199.00099006202686,194.57108358687628,HUL
7,269.8241356629212,263.24818906890755,HUL
8,284.5924480654195,284.47272315733335,HUL
9,274.63611844033613,276.7815656187947,ALO
10,232.06083203734858,231.35251321263158,HUL
11,234.47724892230576,234.5685527469437,ALO
12,221.77635220136057,211.4526360715599,HUL
13,180.5257947658654,193.22066104137141,ALO
14,134.31934085321748,137.5880065350602,ALO
15,127.79100936124347,131.69867685099123,ALO
16,187.1276992505136,172.7274667184762,HUL
17,267.9936400020915,253.1447459645993,HUL
18,203.63670083889784,265.1263157221053,ALO
19,114.07525480468057,115.17580291001735,ALO
20,208.83661787543295,171.93500833133092,HUL
21,177.5288291657143,185.43980919973822,ALO
22,243.42635891186882,206.73311564912282,HUL
23,278.5107110679365,263.025723208289,HUL
24,304.954321292549,292.6131626668527,HUL
25,,305.70729205333333,ALO
