Minisector,VER,MAG,Fastest
0,288.8294907851852,300.6930182269388,MAG
1,298.96857142857147,311.39634779076925,MAG
2,169.4170819212849,157.2254763052101,VER
3,226.38459893048127,214.11558926524413,VER
4,271.4902411730029,280.41659633333336,MAG
5,290.14207920044373,307.11055643697483,MAG
6,297.5060204081633,319.2457144990476,MAG
7,155.59531945139491,162.58732593982592,MAG
8,129.9501677508123,119.73342521916713,VER
9,252.8892539539384,248.12629363809523,VER
10,289.7185317460318,296.44289700050876,MAG
11,306.4182602938026,310.4141965924233,MAG
12,144.33021216139798,139.60335517520076,VER
13,200.64596142848131,184.5283121153016,VER
14,258.7111557279588,253.19485376533333,VER
15,201.42266805899754,191.3002875111619,VER
16,225.1147702491398,200.25639681720057,VER
17,219.9262111801242,199.9753065976889,VER
18,248.28767850827066,231.41389808761903,VER
19,279.67968067878786,271.90506866143494,VER
20,297.4755042016807,293.45793090979896,VER
21,265.41593109311,256.7442911673651,VER
22,225.27853513871634,210.55658849231276,VER
23,209.17384272737903,194.09965133338582,VER
24,266.1439116620385,262.6261679387102,VER
25,282.26874879999997,287.06999808,MAG
