Minisector,NOR,GAS,Fastest
0,245.2543014878619,243.66932704335238,NOR
1,280.9810359564384,276.4532774826667,NOR
2,167.1880142485154,170.08741963852145,GAS
3,151.207073550628,152.79442544127136,GAS
4,255.85633645624668,255.30569457005714,NOR
5,267.0041612770724,264.8351278416649,NOR
6,225.32250002251337,226.42067257641025,GAS
7,201.56411788068206,203.98716225570007,GAS
8,155.67929457443637,158.1339707992381,GAS
9,207.18905086918588,209.93026589170069,GAS
10,270.44718790877783,269.89092423023766,NOR
11,122.51320190543674,130.9124140222962,GAS
12,206.01671908981882,197.74532714161103,NOR
13,278.63773774025975,268.7996373501968,NOR
14,312.5108609999287,290.63327203029905,NOR
15,329.23249996235296,297.6066523049928,NOR
16,266.5537522226087,231.71487990109546,NOR
17,124.64384985734941,132.5442472026282,GAS
18,129.5204165762816,128.11370577015998,NOR
19,121.5487745156825,121.51436160087451,NOR
20,223.80552882800814,225.56509673532,GAS
21,254.0863593057331,257.88579731803344,GAS
22,236.48905691170697,240.86937567706036,GAS
23,215.95953479799283,211.45333423354793,NOR
24,135.4004072917157,136.25334754532142,GAS
25,210.359372,,NOR
