Minisector,NOR,HAM,Fastest
0,306.23829833229274,311.17453416784315,HAM
1,206.20742174436768,201.2252361876015,NOR
2,149.95361592142856,149.6031949640037,NOR
3,228.73670103873013,224.4362037037037,NOR
4,165.69526693454364,164.6572797373906,NOR
5,185.70521947136416,186.45497270845095,HAM
6,258.1344825618713,254.2132454496203,NOR
7,280.8581896417175,282.4458911259259,HAM
8,289.56888896948146,290.25896103896105,HAM
9,263.66436874812484,265.0612346682883,HAM
10,246.70025911099856,240.1161442558502,NOR
11,242.27479155555557,240.31857473684212,NOR
12,205.0967576825893,196.72630411825187,NOR
13,126.54043716425413,130.18277372646725,HAM
14,134.1254209434833,131.11455896519576,NOR
15,172.4739974606349,179.08505654805626,HAM
16,248.32887256812367,252.06697278911565,HAM
17,248.40433931555557,229.3014973211583,NOR
18,111.91892436138681,115.1182855648473,HAM
19,204.12046484018208,205.79892814625973,HAM
20,206.89383420586665,203.55718665855036,NOR
21,242.23273232611785,241.42033388244957,NOR
22,269.375545423752,269.66546601308727,HAM
23,289.88973242857145,288.23980648761903,NOR
24,302.04555373511107,303.39964094039664,HAM
