Minisector,LEC,RUS,Fastest
0,295.30379587160496,280.03725054839003,LEC
1,163.46209916813208,150.00580410233198,LEC
2,171.24850044732497,179.39569966389962,RUS
3,250.78502474933828,249.77236125102368,LEC
4,282.75977636598617,280.7466079344427,LEC
5,250.97287766105399,242.60013945541166,LEC
6,231.9721553772431,225.086454584802,LEC
7,160.35128493973028,155.31909169582138,LEC
8,229.55952528895654,232.32851530793653,RUS
9,278.70274790549706,279.7053844125888,RUS
10,298.69637844771916,297.36239737797956,LEC
11,313.9528808765186,304.58052450865677,LEC
12,320.13377190175436,307.30341539954657,LEC
13,318.29162936485307,296.6993307498565,LEC
14,129.33554147480103,128.55946097040132,LEC
15,118.80568400976483,119.33816934543952,RUS
16,98.15035036638346,100.51639247179249,RUS
17,233.36959278099755,234.8728928799825,RUS
18,283.43594607847615,286.89428478154497,RUS
19,302.45455982419753,302.28771930760234,LEC
20,313.8088477970068,310.0693771143492,LEC
21,310.44844827107767,307.13794189396486,LEC
22,121.69518599481593,130.42432938779157,RUS
23,203.89970728277058,206.29133452986832,RUS
24,269.7969609968849,267.8326918806129,LEC
