Minisector,VER,GAS,Fastest
0,294.00734374269837,283.9668939393939,VER
1,167.79959670483439,154.70618281316789,VER
2,174.16979486192753,175.27297621471862,GAS
3,251.60227958719264,251.88371936907828,GAS
4,288.42102711869654,279.79941379518453,VER
5,256.4247121811582,243.5622453548896,VER
6,229.21719758955822,218.92915549302833,VER
7,156.54178295344346,149.41309416081907,VER
8,230.48528752965078,224.8603094074074,VER
9,281.34911973618347,280.4547727030303,VER
10,299.9306413619295,299.3600888313213,VER
11,308.58545491897047,308.229644089685,VER
12,313.06969246031747,309.87083333333334,VER
13,314.220918214966,301.08889111619044,VER
14,138.54591192680476,132.72995169557868,VER
15,127.04667051154846,121.20224781365552,VER
16,102.46848640506535,101.14686718160758,VER
17,234.40825399712614,229.198391056704,VER
18,288.39047065475836,286.29823701043085,VER
19,307.9534475424339,306.7286470882382,VER
20,318.19992575914955,316.5473376480994,VER
21,323.6303921568628,313.75847597071896,VER
22,133.06608004609186,115.71767100178931,VER
23,193.8820066320599,197.20913058988555,GAS
24,269.5308341056318,267.8788945982338,VER
25,283.9062496,281.0,VER
