Minisector,HUL,STR,Fastest
0,254.53630235667583,248.2702349975593,HUL
1,207.32986237471573,210.51644231693678,STR
2,206.04113631527756,213.0360049913406,STR
3,260.42943606530616,258.5425203389048,HUL
4,270.58892539691834,271.6930417941043,STR
5,293.18014677305115,288.5337600642494,HUL
6,156.08613040402585,163.6176289848573,STR
7,189.88625525920727,173.0986771874501,HUL
8,274.283247244936,269.7647444445675,HUL
9,308.14847566917297,305.91115742404486,HUL
10,324.8296106106298,323.268423266123,HUL
11,322.3521934511399,322.3058394872148,HUL
12,110.26669123676406,113.62892091039387,STR
13,198.21162987377895,196.12469443806626,HUL
14,270.39787136308274,279.16386832486273,STR
15,296.1443995658294,313.9233457797609,STR
16,304.67880280118123,312.8613701188461,STR
17,184.88997886757605,184.46310675463394,HUL
18,225.47094865206068,226.6378704213157,STR
19,269.1100514837664,263.16061882416096,HUL
20,147.30854936990497,144.02269752609047,HUL
21,148.35741723250555,144.8284411459808,HUL
22,222.9079581843205,224.0030783706544,STR
23,242.09410632865456,217.0488258237127,HUL
24,158.54080625904655,159.09547193674132,STR
25,223.37366898190325,,HUL
