Minisector,RUS,SAI,Fastest
0,294.298249984,302.3381252444444,SAI
1,207.09914936565656,206.72065832471893,RUS
2,141.9098323661516,139.08684264450216,RUS
3,217.10415584415585,213.59140309952414,RUS
4,161.0786422002782,156.8784060807867,RUS
5,184.78537374337662,178.45846482577159,RUS
6,253.6007837171227,251.17416746666666,RUS
7,277.1544668908151,276.9433895529412,RUS
8,282.9093694335097,286.2739999969524,SAI
9,267.3787831675186,259.7380732207408,RUS
10,253.99993571676492,245.75636450933334,RUS
11,245.7747892278697,244.47530675134456,RUS
12,208.877175787961,207.13011122105462,RUS
13,134.00586306009583,133.14410239563142,RUS
14,144.63403515670302,136.26722524348403,RUS
15,177.55694822162965,178.80646571623933,SAI
16,250.54436870927103,249.3047459261457,RUS
17,231.6338289719662,243.296030242109,SAI
18,112.53959254925012,112.1970665493795,RUS
19,203.344598043366,197.38478394589373,RUS
20,198.61701201586027,191.24379937154131,RUS
21,234.38888234240363,232.63647243831934,RUS
22,263.43168232903827,262.3693547611544,RUS
23,279.96933152999287,283.68962201745114,SAI
24,289.5482239494431,296.8040222987115,SAI
25,,302.1909096727273,SAI
