Minisector,OCO,BOT,Fastest
0,281.4089676927831,283.97678788571426,BOT
1,115.72424835681754,118.22075792067686,BOT
2,159.31139526990935,158.41768536934242,OCO
3,204.2737152306384,210.0970926026331,BOT
4,153.20907254168887,156.93296015435627,BOT
5,240.48535693931973,237.62011421396093,OCO
6,196.63284773197816,203.1889945500621,BOT
7,131.99747997032284,129.88966328455285,OCO
8,225.37866330281656,237.15287871390478,BOT
9,278.02387980682556,281.8198147218222,BOT
10,277.3697368421052,286.4319217189803,BOT
11,137.48889091829474,139.5328493087428,BOT
12,212.85081544347827,216.72579310545453,BOT
13,264.0328322293271,267.322528795123,BOT
14,256.9868713581095,266.27197723500313,BOT
15,97.35781532502806,101.08879218186368,BOT
16,203.3837037037037,219.3934774109091,BOT
17,270.10520275719085,271.0259850745218,BOT
18,298.06599682928106,297.9460176829629,OCO
19,311.9156755050505,312.76115421866666,BOT
20,322.21490380307694,321.8549550514286,OCO
21,278.817545562328,292.09456500832965,BOT
22,146.5988177770301,143.83287131394684,OCO
23,235.39685189774437,230.4922021232345,OCO
24,281.7198529411765,279.90282760963584,OCO
25,294.6312504,296.88666624,BOT
