Minisector,PIA,RUS,Fastest
0,254.29622818945623,251.31156693565808,PIA
1,225.0775561304712,218.2837950171051,PIA
2,212.20310397340268,203.64632802930674,PIA
3,256.42562528,259.7575886061598,RUS
4,270.3528600131991,272.16580223207524,RUS
5,289.1566381248603,291.28150389759406,RUS
6,147.49341168789667,155.2895251272777,RUS
7,190.00789214926294,175.74085309739124,PIA
8,270.5341927941243,269.38664577386743,PIA
9,296.5247877359447,298.70094245300214,RUS
10,306.3394018714408,309.73245517493564,RUS
11,304.8788851073231,313.8373558817172,RUS
12,114.00732613483753,115.03316435154446,RUS
13,192.4948341672295,182.89926326132866,PIA
14,271.38634263404015,268.6491740053092,PIA
15,292.8924382465587,295.8015428021152,RUS
16,296.4172633953185,304.84691879439777,RUS
17,189.3211013158048,189.49702387820795,RUS
18,225.13428552059395,208.47699223298608,PIA
19,273.2269162585864,262.9499171692067,PIA
20,157.75120904189887,162.84243715844602,RUS
21,148.35714812408065,137.01018889031397,PIA
22,228.82089761850656,204.64576248250535,PIA
23,242.93217918456415,234.2667861957909,PIA
24,160.00926006206598,156.83863617803652,PIA
25,225.9,221.15833386666668,PIA
