Minisector,SAI,ALO,Fastest
0,268.49268168048485,271.448582776,ALO
1,241.84990313797545,247.82534509968255,ALO
2,118.8664566713468,116.61604820032521,SAI
3,176.07132691707935,170.59667857460317,SAI
4,181.39913033517627,192.12233956915352,ALO
5,203.2720763205861,199.98723714938777,SAI
6,263.85183017311897,266.315235722908,ALO
7,285.51367885714285,290.09846831099566,ALO
8,237.52738806636302,212.40949701716792,SAI
9,148.17898992538386,147.2465584685522,SAI
10,116.01451793755844,121.4562082415142,ALO
11,152.6184172519139,152.2531363121245,SAI
12,240.269919,244.6237229139394,ALO
13,153.8927370199292,142.7898536973092,SAI
14,147.48171398700518,152.27922340191247,ALO
15,113.86302260546083,103.71713724747195,SAI
16,212.70539275905404,222.21300582755558,ALO
17,231.86127622106727,220.25159181063452,SAI
18,124.30829211608682,132.77197059797402,ALO
19,237.0611178503328,244.22506311054897,ALO
20,272.3289713974938,278.6279063695238,ALO
21,198.6397112261647,191.0818041919998,SAI
22,153.9744517902007,155.30810501478314,ALO
23,212.08685973117707,210.79941891242981,SAI
24,227.81650232975426,231.59319519935747,ALO
25,255.0687488,,SAI
